model_id,scenario,game,n_runs,coop_rate_overall_mean,coop_rate_overall_ci_lo,coop_rate_overall_ci_hi,coop_rate_hub_mean,coop_rate_hub_ci_lo,coop_rate_hub_ci_hi,coop_rate_leaf_mean,coop_rate_leaf_ci_lo,coop_rate_leaf_ci_hi,hub_minus_leaf_coop_mean,hub_minus_leaf_coop_ci_lo,hub_minus_leaf_coop_ci_hi,hub_total_payoff_mean,hub_total_payoff_ci_lo,hub_total_payoff_ci_hi,leaf_avg_payoff_mean,leaf_avg_payoff_ci_lo,leaf_avg_payoff_ci_hi,hub_leadership_rate_mean,hub_leadership_rate_ci_lo,hub_leadership_rate_ci_hi,hub_exploitation_rate_mean,hub_exploitation_rate_ci_lo,hub_exploitation_rate_ci_hi,invalid_rate_mean,invalid_rate_ci_lo,invalid_rate_ci_hi,full_coop_rate_mean,full_coop_rate_ci_lo,full_coop_rate_ci_hi
Llama-3.1-8B-Instruct,baseline_cheap_talk,pd,5,0.984375,0.959375,1.0,1.0,1.0,1.0,0.9791666666666666,0.9458333333333334,1.0,0.02083333333333335,0.0,0.054166666666666696,189.0,184.2,192.0,4.041666666666667,4.0,4.108333333333333,0.9822222222222223,0.9555555555555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.8375,1.0
Llama-3.1-8B-Instruct,baseline_cheap_talk,sh,5,0.953125,0.875,0.996875,0.925,0.8,1.0,0.9625,0.8958333333333334,1.0,-0.0375,-0.09583333333333335,0.008333333333333349,274.2,252.0,287.0,5.6,4.950000000000001,5.991666666666666,0.9066666666666666,0.76,0.9955555555555555,,,,0.0,0.0,0.0,0.875,0.6875,0.9875
Llama-3.1-8B-Instruct,counterfactual,pd,5,0.9528769841269842,0.9153769841269842,0.984375,0.9491666666666667,0.8741666666666668,1.0,0.9541666666666666,0.9291666666666666,0.9791666666666666,-0.00499999999999996,-0.05499999999999996,0.02083333333333337,187.8,180.0,194.4,3.8916666666666666,3.7166666666666663,4.041666666666667,0.9415873015873014,0.8793650793650792,0.9777777777777776,0.05083333333333333,0.0,0.12583333333333332,0.003125,0.0,0.009375,0.8125,0.6625,0.9375
Llama-3.1-8B-Instruct,counterfactual,sh,5,0.9654761904761905,0.9528273809523811,0.984375,0.9875,0.9625,1.0,0.9580673758865249,0.9411347517730497,0.9791666666666667,0.029432624113475157,-2.2204460492503132e-17,0.05860593971631204,276.2,270.8,283.0,5.841666666666667,5.733125,5.95,0.9466666666666667,0.9111111111111111,0.9777777777777779,,,,0.003125,0.0,0.009375,0.8625,0.8,0.9375
Llama-3.1-8B-Instruct,framing_business,pd,5,0.69375,0.496875,0.890625,0.7125,0.5125,0.925,0.6875,0.4875,0.8875,0.025,-0.04583333333333332,0.10833333333333332,166.8,151.0,182.6,3.6,3.2083333333333335,4.008333333333333,0.7422222222222222,0.5644444444444445,0.9199999999999999,0.1375,0.0125,0.2625,0.0,0.0,0.0,0.4375,0.1125,0.7625
Llama-3.1-8B-Instruct,framing_business,sh,5,0.61875,0.496875,0.771875,0.675,0.6,0.7875,0.6,0.4583333333333333,0.7708333333333334,0.075,-0.0125,0.1541666666666667,184.8,157.37,222.8,4.075,3.6541666666666663,4.7041666666666675,0.6622222222222222,0.5644444444444444,0.7777777777777778,,,,0.0,0.0,0.0,0.25,0.1,0.475
Llama-3.1-8B-Instruct,framing_competitive,pd,5,0.36054025423728814,0.29375,0.4273305084745763,0.4355769230769231,0.2625,0.5876682692307691,0.33695652173913043,0.2875,0.3864130434782609,0.09862040133779265,-0.04999999999999999,0.2361900780379041,126.6,115.4,141.2,3.054166666666667,2.575,3.6291666666666673,0.5415686274509804,0.4602614379084967,0.6266666666666667,0.09038461538461538,0.0375,0.15,0.015625,0.0,0.046875,0.0125,0.0,0.0375
Llama-3.1-8B-Instruct,framing_competitive,sh,5,0.5251984126984126,0.5062996031746032,0.5440972222222222,0.575,0.45,0.7,0.5088652482269503,0.4625,0.5702127659574469,0.06613475177304966,-0.13111702127659575,0.23953900709219855,155.2,151.6,158.8,3.4333333333333336,2.9372916666666664,3.895833333333333,0.5337373737373736,0.4305050505050505,0.6473737373737374,,,,0.00625,0.0,0.0125,0.0875,0.0375,0.125
Llama-3.1-8B-Instruct,framing_team,pd,5,0.675,0.421875,0.8532812499999999,0.675,0.375,0.9,0.675,0.4291666666666667,0.8458333333333332,-5.551115123125783e-18,-0.075,0.1,166.4,147.6,181.2,3.4666666666666663,2.75,4.05,0.8177777777777777,0.7688888888888888,0.8711111111111111,0.325,0.1,0.625,0.0,0.0,0.0,0.4375,0.225,0.6375
Llama-3.1-8B-Instruct,framing_team,sh,5,0.634375,0.5375,0.74375,0.65,0.5125,0.7878124999999997,0.6291666666666667,0.5458333333333334,0.7291666666666666,0.020833333333333325,-0.04583333333333335,0.08749999999999998,190.6,163.8,217.8,4.033333333333333,3.3041666666666663,4.6834375,0.6133333333333334,0.5155555555555555,0.7244444444444446,,,,0.0,0.0,0.0,0.2375,0.125,0.3875
