model_id,topology,game,cell,scenario,condition,no_comm_mean,no_comm_ci_lo,no_comm_ci_hi,cheap_talk_mean,cheap_talk_ci_lo,cheap_talk_ci_hi,delta,n_no_comm,n_cheap_talk
Llama-3.1-8B-Instruct,cycle,pd,baseline_cheap_talk,baseline_cheap_talk,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.990625,0.978125,1.0,0.42247666387521354,5,5
Llama-3.1-8B-Instruct,cycle,pd,counterfactual,counterfactual,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.99375,0.9875,1.0,0.4256016638752136,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_business,framing_business,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.78125,0.634375,0.9125,0.21310166387521357,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_business_context[cheap_talk],framing_business_context,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.978125,0.934375,1.0,0.4099766638752136,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_business_context[no_comm],framing_business_context,no_comm,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.5202608004139081,0.40944036178631993,0.6559322033898305,-0.04788753571087834,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive,framing_competitive,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.31879960317460315,0.2649801587301587,0.3990079365079365,-0.24934873295018328,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive_context[cheap_talk],framing_competitive_context,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.9811011904761905,0.962202380952381,0.996875,0.41295285435140405,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive_context[no_comm],framing_competitive_context,no_comm,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.4516085143734913,0.3958709677419355,0.5161904761904761,-0.11653982175129513,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_team,framing_team,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.6799603174603175,0.5237103174603175,0.8282490079365078,0.11181198133553105,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_team_context[cheap_talk],framing_team_context,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.99375,0.98125,1.0,0.4256016638752136,5,5
Llama-3.1-8B-Instruct,cycle,pd,framing_team_context[no_comm],framing_team_context,no_comm,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.8830577233815793,0.7714855433698903,0.9827586206896551,0.31490938725679285,5,5
Llama-3.1-8B-Instruct,cycle,pd,no_sense,no_sense,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.6265120967741936,0.46218750000000003,0.7858870967741935,0.05836376064940718,5,5
Llama-3.1-8B-Instruct,cycle,pd,silence,silence,cheap_talk,0.5681483361247864,0.4462616522018644,0.7216714882674381,0.7356214482972812,0.49388498568826433,0.9772503840245775,0.16747311217249472,5,5
Llama-3.1-8B-Instruct,cycle,sh,baseline_cheap_talk,baseline_cheap_talk,cheap_talk,0.7025386291848177,0.6105869085890293,0.7775929102344197,0.915625,0.84375,0.965625,0.21308637081518234,5,5
Llama-3.1-8B-Instruct,cycle,sh,counterfactual,counterfactual,cheap_talk,0.7025386291848177,0.6105869085890293,0.7775929102344197,0.9625,0.946875,0.9813281249999999,0.25996137081518234,5,5
Llama-3.1-8B-Instruct,cycle,sh,framing_business,framing_business,cheap_talk,0.7025386291848177,0.6105869085890293,0.7775929102344197,0.7863095238095238,0.7383928571428571,0.8291964285714287,0.0837708946247061,5,5
Llama-3.1-8B-Instruct,cycle,sh,framing_business_context[cheap_talk],framing_business_context,cheap_talk,0.7025386291848177,0.6105869085890293,0.7775929102344197,0.928125,0.865625,0.978125,0.2255863708151823,5,5
